Title,SHEET,TYPE
Paper Plate,MISC,
Chakkakuru (Jackfruit Seed),FRESHITEM,VEG FRUIT
Kada Chakka Raw (Butter Fruit),FRESHITEM,VEG FRUIT
Cleaned Thenvarikka Chakka Pazham (Jackfruit) 400gm,FRESHITEM,VEG FRUIT
Pacha Chakka Cleaned (Raw Jackfruit),FRESHITEM,VEG FRUIT
Cleaned Thenvarikka Chakka Pazham (Jackfruit),FRESHITEM,VEG FRUIT
Chakka Chicken Curry Festival Box (Family Pack),MAHABELLY,
Chakka Erachi Curry Festival Box (Family Pack),MAHABELLY,
Jackfruit Halwa (Nadan Style),PACKED,HALWA
Jackfruit Cake,PROD,CAKE
Moovandan Manga Pazham (Ripe Kerala Mango),FRESHITEM,VEG FRUIT
Mutton Curry (Kerala Style),MAHABELLY,
Kerala Chicken Fry,MAHABELLY,
Beans Thoran,MAHABELLY,
Avial (Kerala Special),MAHABELLY,
Kalan/Moru Curry (Kerala Style),MAHABELLY,
Sambar (Kerala Style),MAHABELLY,
Kerala Rice Boiled (Matta Rice),MAHABELLY,
Nadan Chicken Curry (Kerala Special),MAHABELLY,
Kerala Appam (Fresh),MAHABELLY,
Malabar Porotta (Fresh),MAHABELLY,
Padavalanga (Snake Gourd),FRESHITEM,VEG FRUIT
Mathanga (Yellow Pumpkin),FRESHITEM,VEG FRUIT
Cherakka (Snake Gourd),FRESHITEM,VEG FRUIT
Kachil,FRESHITEM,VEG FRUIT
Muvandan Manga Pacha (Raw Kerala Mango),FRESHITEM,VEG FRUIT
Palayamkodan Pazham (Cheru Pazham Semi Ripened/ Fully Ripened),FRESHITEM,VEG FRUIT
"Choco Mud Cake (Eggless, 24 Slices/Kg)",PROD,CAKE
Kuboos Big (Kerala Nadan Style),PROD,SNACK
Paneer Roll,PROD,SNACK
Alfaham Kerala Style with Nadan Kuboos,MAHABELLY,
Kerala Shawarma in Nadan Kuboos,MAHABELLY,
"Carrot and Dates Cake (Eggless, 24 Slices/Kg)",PROD,CAKE
Nadan Shawarma Grape Juice Combo Box,MAHABELLY,
Alfaham Grape Juice Combo Box,MAHABELLY,
Homemade Wine,FRESHITEM,PACKED
Shawaya Arabic Salkaram Box,MAHABELLY,
Pal Payasam,MAHABELLY,
Boli (Nadan Kerala Famous),PROD,SNACK
Kozhikotta,PROD,SNACK
Coconut Big (Whole),FRESHITEM,VEG FRUIT
Full Vishu Sadhya Kit (Family Pack),MAHABELLY,
Vegetables Kit Vishu Sadhya (Family Pack),FRESHITEM,PACKED
Paneer Puffs,PROD,PUFFS
Arabian Pulpy Grape Juice,PROD,EXTRA
Cuticura Talc Original Bloom,FRESHITEM,PACKED
Cuticura Soap Original Bloom,FRESHITEM,PACKED
Cutee White Zaffron Soap,FRESHITEM,PACKED
Cutee Silky Skin Soap,FRESHITEM,PACKED
Cutee Sandal Soap,FRESHITEM,PACKED
Cutee Papaya Fruit Mix Soap,FRESHITEM,PACKED
Cutee Olive Sona Soap,FRESHITEM,PACKED
Cutee Milky Almond Soap,FRESHITEM,PACKED
Cutee Lavender Bloom Soap,FRESHITEM,PACKED
Cutee Herbow Soap,FRESHITEM,PACKED
Cutee Haldi Manjal Soap,FRESHITEM,PACKED
Coconut Oil (Pavizham),FRESHITEM,PACKED
Vettu Cake (1 Pc),PACKED,BAKERY
Snack Box Packing Charges,MISC,
Cheru Ulli (Shallots / Small Onions),FRESHITEM,VEG FRUIT
Coconut Big Opened (തേങ്ങ പൊട്ടിച്ചത്),FRESHITEM,VEG FRUIT
Jyali Poovan (Cheru Pazham Semi Ripened/ Fully Ripened)),FRESHITEM,VEG FRUIT
Ethakka / Nendran Nadan Kerala (Ripe),FRESHITEM,VEG FRUIT
Kappa Nadan Kerala (കപ്പ / Tapioca / Cassava),FRESHITEM,VEG FRUIT
Muringa Kol Nadan (മുരിങ്ങക്കോൽ / Drumstick),FRESHITEM,VEG FRUIT
Kumbalanga (Ash Gourd),FRESHITEM,VEG FRUIT
Chena (ചേന / Elephant Foot Yam),FRESHITEM,VEG FRUIT
Koorka (കൂർക്ക),FRESHITEM,VEG FRUIT
Chembu,FRESHITEM,VEG FRUIT
Vellarikka / Vellari Nadan (വെള്ളരിക്ക),FRESHITEM,VEG FRUIT
Pacha Kaya / Raw Nendran Banana,FRESHITEM,VEG FRUIT
Nambeesan Ghee,FRESHITEM,PACKED
Sambar Powder (Brahmins),FRESHITEM,PACKED
Instant Palada Payasam Mix (Brahmins),FRESHITEM,PACKED
Instant Semiya Payasam Mix (Brahmins),FRESHITEM,PACKED
Hot and Sweet Pickle (Brahmins),FRESHITEM,PACKED
Ginger Pickle (Brahmins),FRESHITEM,PACKED
Garlic Pickle (Brahmins),FRESHITEM,PACKED
Lime Pickle (Brahmins),FRESHITEM,PACKED
Sliced Mango Pickle (Brahmins),FRESHITEM,PACKED
Easy Palappam Mix (Brahmins),FRESHITEM,PACKED
Appam Idiyappam Powder (Brahmins),FRESHITEM,PACKED
Nurungu Ari Broken Rice (Brahmins),FRESHITEM,PACKED
Aval Red Rice Flakes (Brahmins),FRESHITEM,PACKED
Puttu Podi Chemba Red (Brahmins),FRESHITEM,PACKED
Puttu Podi White (Brahmins),FRESHITEM,PACKED
Pure Coconut Oil Premium (Pavizham),FRESHITEM,PACKED
Coconut Oil (Pavizham),FRESHITEM,PACKED
Milk Powder (KFL),FRESHITEM,PACKED
Coconut Oil (KLF),FRESHITEM,PACKED
Coconut Oil (KLF),FRESHITEM,PACKED
Agarbathi Brass Stand Small,FRESHITEM,PACKED
Thattam Medium (Brass Plate),FRESHITEM,PACKED
